19980104,8334662
19980111,8199556
19980118,1607018
19980125,2165839
19980201,3563811
19980208,3710284
19980215,8460026
19980222,8687864
19980301,2622660
19980308,3172003
19980315,1679769
19980322,2818245
19980329,2611751
19980405,0565457
19980412,2377286
19980421,0659490
19980426,9271495
19980503,7421839
19980510,9163513
19980517,7706144
19980524,7468776
19980531,7613465
19980607,2855352
19980614,0565459
19980621,0817152
19980628,6433086
19980705,4308259
19980712,9220042
19980719,7255934
19980726,1179041
19980802,0963646
19980809,6251878
19980816,5220110
19980823,5847168
19980830,4443340
19980906,4024338
19980913,3229323
19980920,0259631
19980927,1362999
19981004,4964718
19981011,0120860
19981018,1459410
19981025,7007291
19981101,4422997
19981108,2939757
19981115,8799343
19981122,8489595
19981129,3907585
19981206,6317343
19981213,3407070
19990103,8127341
19990110,2796653
19990117,1945011
19990124,1622786
19990131,6047117
19990207,2107654
19990214,2821748
19990221,0787215
19990228,5103363
19990307,0313250
19990314,9456143
19990321,2704856
19990328,7221964
19990404,0553084
19990413,5270762
19990418,3457882
19990425,1376880
19990502,1553922
19990509,2229272
19990516,7087078
19990523,1018874
19990530,1341801
19990606,2064250
19990613,9995992
19990620,5206364
19990627,8385494
19990704,9478775
19990711,4460824
19990718,2047869
19990725,6718528
19990801,6679845
19990808,4323540
19990815,1541591
19990822,7186024
19990829,3296777
19990905,1753743
19990912,2316250
19990919,3828690
19990926,2225545
19991003,3174297
19991010,6799648
19991017,7875681
19991024,2660682
19991031,1168751
19991107,4094111
19991114,6708763
19991121,7597641
19991128,3320759
19991205,8523985
19991212,1656149
19991219,8841787
20000102,0090750
20000109,6582103
20000116,0039453
20000123,7956577
20000130,3387840
20000206,4607802
20000213,4368433
20000220,4934763
20000227,2032772
20000305,5549336
20000312,4914612
20000319,0911053
20000326,9621747
20000402,6941801
20000409,0602213
20000416,0299010
20000423,5944560
20000430,8517448
20000507,7679404
20000514,5517671
20000521,3941108
20000528,5860075
20000604,9127294
20000611,6727685
20000618,6442448
20000625,2244366
20000702,1521395
20000709,5558545
20000716,0706012
20000723,3163946
20000730,6118725
20000806,1778420
20000813,6118725
20000820,1351679
20000827,4305843
20000903,4458974
20000910,6132013
20000917,4235522
20000924,3719498
20001001,5443979
20001008,5225654
20001015,5452016
20001022,1274746
20001029,2732214
20001105,3245514
20001112,6025696
20001119,4614963
20001126,4436387
20001203,6934173
20001210,3659833
20001217,4862072
20001224,3659833
20010102,2589435
20010107,6672781
20010114,5453990
20010121,3173087
20010128,4902538
20010204,8730823
20010211,1197963
20010218,5257260
20010225,8737375
20010304,0715331
20010311,7864911
20010318,4763125
20010325,7085889
20010401,2074091
20010408,0414333
20010415,8266330
20010422,2207108
